ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	4	1	1	0.000000	42.000000	26.750000	0.000000	0.000000	0	0	0
2	10	1	2	0.000000	39.200000	25.900000	0.000000	0.000000	0	0	0
3	15	2	2	0.000000	38.600000	13.066667	0.000000	0.000000	0	0	0
4	4	2	1	0.000000	41.000000	28.000000	0.000000	0.000000	0	0	0
5	8	1	2	0.000000	43.500000	31.750000	0.000000	0.000000	0	0	0
6	3	2	2	0.000000	53.666667	31.333333	0.000000	0.000000	0	0	0
7	13	2	1	0.000000	53.384615	25.000000	0.000000	0.000000	0	0	0
8	1	1	1	0.000000	53.000000	37.000000	0.000000	0.000000	0	0	0
9	2	1	2	0.000000	56.000000	36.000000	0.000000	0.000000	0	0	0
10	7	1	2	0.000000	48.000000	33.857143	0.000000	0.000000	0	0	0
11	2	2	2	0.000000	48.000000	35.000000	0.000000	0.000000	0	0	0
12	2	1	1	0.000000	49.500000	36.000000	0.000000	0.000000	0	0	0
13	7	1	2	0.000000	49.285714	36.000000	0.000000	0.000000	0	0	0
14	2	1	1	0.000000	42.000000	22.500000	0.000000	0.000000	0	0	0
15	13	1	2	0.000000	43.076923	9.384615	0.000000	0.000000	0	0	0
16	3	2	1	0.000000	45.666667	33.333333	0.000000	0.000000	0	0	0
17	4	1	1	0.000000	44.000000	32.000000	0.000000	0.000000	0	0	0
18	1	2	1	0.000000	40.000000	32.000000	0.000000	0.000000	0	0	0
19	2	2	1	0.000000	38.500000	31.000000	0.000000	0.000000	0	0	0
20	1	2	1	0.000000	36.000000	33.000000	0.000000	0.000000	0	0	0
21	1	1	2	0.000000	30.000000	30.000000	0.000000	0.000000	0	0	0
22	3	1	3	0.000000	31.666667	28.666667	0.000000	0.000000	0	0	0
23	2	1	2	0.000000	34.500000	27.500000	0.000000	0.000000	0	0	0
24	2	1	2	0.000000	34.500000	26.500000	0.000000	0.000000	0	0	0
25	1	1	2	0.000000	34.000000	25.000000	0.000000	0.000000	0	0	0
26	1	1	2	0.000000	35.000000	26.000000	0.000000	0.000000	0	0	0
27	2	1	2	0.000000	36.000000	22.500000	0.000000	0.000000	0	0	0
28	1	1	2	0.000000	37.000000	22.000000	0.000000	0.000000	0	0	0
29	5	1	3	0.000000	43.600000	27.200000	0.000000	0.000000	0	0	0
30	2	1	1	0.000000	47.000000	30.500000	0.000000	0.000000	0	0	0
31	15	1	1	0.000000	53.200000	35.000000	0.000000	0.000000	0	0	0
32	5	2	2	0.000000	56.600000	41.400000	0.000000	0.000000	0	0	0
33	6	2	1	0.000000	54.666667	41.833333	0.000000	0.000000	0	0	0
34	3	2	1	0.000000	53.333333	37.666667	0.000000	0.000000	0	0	0
35	6	2	1	0.000000	53.500000	36.666667	0.000000	0.000000	0	0	0
36	5	1	2	0.000000	54.600000	8.800000	0.000000	0.000000	0	0	0
37	1	2	2	0.000000	57.000000	38.000000	0.000000	0.000000	0	0	0
38	1	3	2	0.000000	58.000000	36.000000	0.000000	0.000000	0	0	0
39	2	1	1	0.000000	55.500000	17.500000	0.000000	0.000000	0	0	0
40	1	1	1	0.000000	50.000000	32.000000	0.000000	0.000000	0	0	0
41	3	1	2	0.000000	51.333333	32.333333	0.000000	0.000000	0	0	0
42	6	2	1	0.000000	38.666667	27.000000	0.000000	0.000000	0	0	0
43	2	2	1	0.000000	35.000000	25.500000	0.000000	0.000000	0	0	0
44	11	1	1	0.000000	34.545455	19.636364	0.000000	0.000000	0	0	0
45	9	1	2	0.000000	37.111111	14.777778	0.000000	0.000000	0	0	0
46	9	1	2	0.000000	39.888889	26.888889	0.000000	0.000000	0	0	0
47	5	1	2	0.000000	49.000000	29.600000	0.000000	0.000000	0	0	0
