ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	18	1	2	0.000000	29.000000	15.000000	0.000000	0.000000	0	0	0
2	19	1	1	0.000000	37.526316	22.315789	0.000000	0.000000	0	0	0
3	5	2	1	0.000000	39.600000	19.200000	0.000000	0.000000	0	0	0
4	38	2	2	0.000000	34.973684	15.578947	0.000000	0.000000	0	0	0
5	46	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
6	2	2	2	0.000000	30.500000	21.500000	0.000000	0.000000	0	0	0
7	13	2	1	0.000000	27.384615	17.230769	0.000000	0.000000	0	0	0
8	6	2	2	0.000000	37.666667	27.166667	0.000000	0.000000	0	0	0
9	35	1	2	0.000000	42.228571	19.085714	0.000000	0.000000	0	0	0
10	2	1	2	0.000000	44.000000	14.000000	0.000000	0.000000	0	0	0
11	2	1	2	0.000000	44.000000	24.500000	0.000000	0.000000	0	0	0
12	2	1	2	0.000000	23.500000	19.500000	0.000000	0.000000	0	0	0
13	33	2	2	0.000000	24.575758	7.151515	0.000000	0.000000	0	0	0
14	12	1	2	0.000000	28.583333	19.166667	0.000000	0.000000	0	0	0
15	9	1	2	0.000000	35.666667	15.444444	0.000000	0.000000	0	0	0
16	6	2	2	0.000000	34.833333	17.000000	0.000000	0.000000	0	0	0
17	3	1	1	0.000000	36.333333	18.000000	0.000000	0.000000	0	0	0
18	24	1	2	0.000000	28.875000	17.916667	0.000000	0.000000	0	0	0
19	8	1	2	0.000000	38.250000	24.500000	0.000000	0.000000	0	0	0
20	1	1	2	0.000000	42.000000	27.000000	0.000000	0.000000	0	0	0
21	2	1	2	0.000000	41.500000	25.500000	0.000000	0.000000	0	0	0
22	11	2	2	0.000000	43.181818	22.181818	0.000000	0.000000	0	0	0
23	2	1	1	0.000000	43.000000	22.500000	0.000000	0.000000	0	0	0
24	4	1	2	0.000000	43.250000	22.000000	0.000000	0.000000	0	0	0
25	5	2	2	0.000000	39.400000	22.800000	0.000000	0.000000	0	0	0
26	47	2	0	0.000000	1.170213	1.170213	0.000000	0.000000	0	0	0
27	6	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
28	2	1	2	0.000000	39.000000	26.500000	0.000000	0.000000	0	0	0
29	2	1	1	0.000000	37.500000	26.000000	0.000000	0.000000	0	0	0
30	4	2	1	0.000000	38.500000	24.750000	0.000000	0.000000	0	0	0
31	7	1	1	0.000000	40.285714	21.857143	0.000000	0.000000	0	0	0
32	2	2	1	0.000000	42.500000	24.000000	0.000000	0.000000	0	0	0
33	1	1	1	0.000000	40.000000	22.000000	0.000000	0.000000	0	0	0
34	9	1	1	0.000000	46.777778	25.111111	0.000000	0.000000	0	0	0
35	8	1	1	0.000000	45.125000	27.000000	0.000000	0.000000	0	0	0
36	9	2	1	0.000000	41.222222	30.888889	0.000000	0.000000	0	0	0
37	7	2	1	0.000000	38.428571	27.857143	0.000000	0.000000	0	0	0
38	8	1	1	0.000000	37.750000	27.750000	0.000000	0.000000	0	0	0
39	12	1	2	0.000000	38.166667	25.583333	0.000000	0.000000	0	0	0
40	10	1	1	0.000000	48.400000	23.200000	0.000000	0.000000	0	0	0
41	30	2	1	0.000000	33.100000	21.800000	0.000000	0.000000	0	0	0
42	24	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
43	6	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
44	2	1	2	0.000000	42.000000	23.500000	0.000000	0.000000	0	0	0
45	2	1	2	0.000000	42.500000	24.000000	0.000000	0.000000	0	0	0
46	2	1	2	0.000000	44.000000	25.000000	0.000000	0.000000	0	0	0
47	2	3	1	0.000000	36.500000	25.500000	0.000000	0.000000	0	0	0
48	1	2	1	0.000000	32.000000	23.000000	0.000000	0.000000	0	0	0
49	1	2	1	0.000000	32.000000	23.000000	0.000000	0.000000	0	0	0
50	2	2	2	0.000000	35.500000	26.000000	0.000000	0.000000	0	0	0
51	2	2	1	0.000000	35.000000	28.000000	0.000000	0.000000	0	0	0
52	1	3	1	0.000000	34.000000	28.000000	0.000000	0.000000	0	0	0
53	23	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
54	1	2	3	0.000000	29.000000	29.000000	0.000000	0.000000	0	0	0
55	2	2	2	0.000000	30.000000	30.000000	0.000000	0.000000	0	0	0
56	1	2	1	0.000000	29.000000	29.000000	0.000000	0.000000	0	0	0
57	23	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
58	7	2	1	0.000000	25.285714	11.142857	0.000000	0.000000	0	0	0
59	7	2	1	0.000000	23.714286	16.571429	0.000000	0.000000	0	0	0
60	12	2	2	0.000000	19.666667	10.083333	0.000000	0.000000	0	0	0
61	14	1	1	0.000000	22.214286	15.500000	0.000000	0.000000	0	0	0
62	18	2	2	0.000000	35.055556	14.944444	0.000000	0.000000	0	0	0
63	4	1	1	0.000000	34.000000	5.000000	0.000000	0.000000	0	0	0
64	9	2	2	0.000000	33.222222	22.666667	0.000000	0.000000	0	0	0
65	37	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
66	5	1	2	0.000000	36.800000	20.200000	0.000000	0.000000	0	0	0
67	21	2	2	0.000000	35.761905	14.380952	0.000000	0.000000	0	0	0
68	2	1	1	0.000000	30.000000	15.500000	0.000000	0.000000	0	0	0
69	6	2	1	0.000000	28.166667	26.166667	0.000000	0.000000	0	0	0
70	2	1	1	0.000000	27.000000	27.000000	0.000000	0.000000	0	0	0
71	1	2	2	0.000000	28.000000	28.000000	0.000000	0.000000	0	0	0
72	3	1	1	0.000000	27.666667	27.666667	0.000000	0.000000	0	0	0
73	1	2	2	0.000000	33.000000	33.000000	0.000000	0.000000	0	0	0
74	1	1	2	0.000000	33.000000	33.000000	0.000000	0.000000	0	0	0
75	5	1	2	0.000000	36.600000	35.600000	0.000000	0.000000	0	0	0
76	2	1	2	0.000000	36.500000	33.000000	0.000000	0.000000	0	0	0
77	2	2	2	0.000000	44.000000	26.000000	0.000000	0.000000	0	0	0
78	3	1	1	0.000000	38.333333	25.666667	0.000000	0.000000	0	0	0
79	12	1	1	0.000000	2.416667	2.000000	0.000000	0.000000	0	0	0
80	6	2	1	0.000000	33.333333	22.500000	0.000000	0.000000	0	0	0
81	10	3	1	0.000000	33.200000	24.500000	0.000000	0.000000	0	0	0
82	3	1	1	0.000000	34.333333	24.333333	0.000000	0.000000	0	0	0
83	19	1	2	0.000000	34.526316	22.684211	0.000000	0.000000	0	0	0
84	4	2	2	0.000000	42.750000	28.250000	0.000000	0.000000	0	0	0
85	4	2	1	0.000000	41.000000	29.000000	0.000000	0.000000	0	0	0
86	1	1	1	0.000000	38.000000	28.000000	0.000000	0.000000	0	0	0
87	13	2	2	0.000000	40.307692	27.153846	0.000000	0.000000	0	0	0
88	2	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
89	6	2	1	0.000000	37.833333	16.666667	0.000000	0.000000	0	0	0
90	9	1	1	0.000000	35.333333	21.888889	0.000000	0.000000	0	0	0
91	2	2	2	0.000000	33.500000	3.000000	0.000000	0.000000	0	0	0
92	9	1	2	0.000000	30.333333	19.111111	0.000000	0.000000	0	0	0
93	8	1	2	0.000000	38.375000	27.000000	0.000000	0.000000	0	0	0
94	1	1	2	0.000000	42.000000	30.000000	0.000000	0.000000	0	0	0
95	11	1	2	0.000000	37.181818	26.363636	0.000000	0.000000	0	0	0
96	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
97	22	1	2	0.000000	2.227273	1.545455	0.000000	0.000000	0	0	0
98	10	1	2	0.000000	43.100000	7.500000	0.000000	0.000000	0	0	0
99	1	2	2	0.000000	40.000000	26.000000	0.000000	0.000000	0	0	0
100	14	2	2	0.000000	35.142857	18.357143	0.000000	0.000000	0	0	0
101	12	1	1	0.000000	29.916667	18.000000	0.000000	0.000000	0	0	0
102	5	1	2	0.000000	28.400000	4.400000	0.000000	0.000000	0	0	0
103	3	1	1	0.000000	37.666667	18.333333	0.000000	0.000000	0	0	0
104	9	1	2	0.000000	42.888889	23.777778	0.000000	0.000000	0	0	0
105	9	2	2	0.000000	31.444444	18.444444	0.000000	0.000000	0	0	0
106	2	1	1	0.000000	33.500000	23.000000	0.000000	0.000000	0	0	0
107	1	2	2	0.000000	30.000000	19.000000	0.000000	0.000000	0	0	0
108	10	2	1	0.000000	25.300000	12.400000	0.000000	0.000000	0	0	0
109	18	2	2	0.000000	27.000000	17.555556	0.000000	0.000000	0	0	0
